"runs","minutes","balls.faced","strike.rate","position","dismissal","inninng","opposition","player","team","year","event","country","home","goodsr","first","start","avg","cohort","years.played","top.team","rmean","rmedian"
241,613,436,55.27,4,"not out",1,"Australia","SR Tendulkar","India",2004,0,"Australia",0,1,1,1989,53.78,"90s",15,1,99.292555240821,63
248,552,379,65.43,4,"not out",2,"Bangladesh","SR Tendulkar","India",2004,0,"Bangladesh",0,1,1,1989,53.78,"90s",15,0,99.292555240821,63
214,547,363,58.95,4,"bowled",2,"Australia","SR Tendulkar","India",2010,1,"India",1,1,1,1989,53.78,"90s",21,1,99.292555240821,63
177,462,360,49.16,4,"caught",1,"England","SR Tendulkar","India",1996,1,"England",0,1,1,1989,53.78,"90s",7,0,99.292555240821,63
194,493,348,55.74,4,"not out",1,"Pakistan","SR Tendulkar","India",2004,0,"Pakistan",0,1,1,1989,53.78,"90s",15,0,99.292555240821,63
203,516,347,58.5,4,"caught",2,"Sri Lanka","SR Tendulkar","India",2010,1,"Sri Lanka",0,1,1,1989,53.78,"90s",21,0,99.292555240821,63
217,494,344,63.08,4,"caught",1,"New Zealand","SR Tendulkar","India",1999,1,"India",1,1,1,1989,53.78,"90s",10,0,99.292555240821,63
193,434,330,58.48,4,"lbw",1,"England","SR Tendulkar","India",2002,1,"England",0,1,1,1989,53.78,"90s",13,0,99.292555240821,63
179,414,322,55.59,4,"caught",1,"West Indies","SR Tendulkar","India",1994,1,"India",1,1,1,1989,53.78,"90s",5,0,99.292555240821,63
176,440,316,55.69,4,"caught",2,"Zimbabwe","SR Tendulkar","India",2002,1,"India",1,1,1,1989,53.78,"90s",13,0,99.292555240821,63
146,465,314,46.49,4,"bowled",2,"South Africa","SR Tendulkar","India",2011,1,"South Africa",0,1,1,1989,53.78,"90s",22,1,99.292555240821,63
176,419,298,59.06,4,"caught",3,"West Indies","SR Tendulkar","India",2002,1,"India",1,1,2,1989,53.78,"90s",13,0,99.292555240821,63
165,361,296,55.74,4,"caught",1,"England","SR Tendulkar","India",1993,1,"India",1,1,1,1989,53.78,"90s",4,0,99.292555240821,63
201,392,281,71.53,4,"not out",1,"Zimbabwe","SR Tendulkar","India",2000,0,"India",1,1,1,1989,53.78,"90s",11,0,99.292555240821,63
136,405,273,49.81,4,"caught",4,"Pakistan","SR Tendulkar","India",1999,1,"India",1,1,2,1989,53.78,"90s",10,1,99.292555240821,63
111,373,270,41.11,4,"caught",2,"South Africa","SR Tendulkar","India",1992,1,"South Africa",0,0,1,1989,53.78,"90s",3,1,99.292555240821,63
139,397,266,52.25,4,"caught",2,"Sri Lanka","SR Tendulkar","India",1997,1,"Sri Lanka",0,1,1,1989,53.78,"90s",8,0,99.292555240821,63
117,356,260,45,4,"lbw",1,"West Indies","SR Tendulkar","India",2002,1,"West Indies",0,0,1,1989,53.78,"90s",13,0,99.292555240821,63
160,397,260,61.53,4,"caught",2,"New Zealand","SR Tendulkar","India",2009,1,"New Zealand",0,1,1,1989,53.78,"90s",20,0,99.292555240821,63
169,329,254,66.53,5,"caught",2,"South Africa","SR Tendulkar","India",1997,1,"South Africa",0,1,1,1989,53.78,"90s",8,1,99.292555240821,63
126,397,248,50.8,4,"not out",3,"New Zealand","SR Tendulkar","India",1999,0,"India",1,1,2,1989,53.78,"90s",10,0,99.292555240821,63
143,292,247,57.89,4,"caught",1,"Sri Lanka","SR Tendulkar","India",1997,1,"Sri Lanka",0,1,1,1989,53.78,"90s",8,0,99.292555240821,63
148,320,244,60.65,5,"bowled",1,"Sri Lanka","SR Tendulkar","India",1997,1,"India",1,1,1,1989,53.78,"90s",8,0,99.292555240821,63
154,429,243,63.37,4,"not out",2,"Australia","SR Tendulkar","India",2008,0,"Australia",0,1,1,1989,53.78,"90s",19,1,99.292555240821,63
111,327,241,46.05,5,"not out",3,"South Africa","SR Tendulkar","India",2010,0,"South Africa",0,1,2,1989,53.78,"90s",21,1,99.292555240821,63
124,308,235,52.76,4,"not out",3,"Sri Lanka","SR Tendulkar","India",1999,0,"Sri Lanka",0,1,2,1989,53.78,"90s",10,0,99.292555240821,63
88,306,233,37.76,4,"run out",2,"West Indies","SR Tendulkar","India",1997,1,"West Indies",0,0,1,1989,53.78,"90s",8,0,99.292555240821,63
122,283,233,52.36,4,"caught",2,"Zimbabwe","SR Tendulkar","India",2000,1,"India",1,1,1,1989,53.78,"90s",11,0,99.292555240821,63
83,287,231,35.93,4,"caught",1,"West Indies","SR Tendulkar","India",1997,1,"West Indies",0,0,1,1989,53.78,"90s",8,0,99.292555240821,63
126,346,230,54.78,4,"caught",2,"Australia","SR Tendulkar","India",2001,1,"India",1,1,1,1989,53.78,"90s",12,1,99.292555240821,63
122,354,226,53.98,4,"not out",1,"Bangladesh","SR Tendulkar","India",2007,0,"Bangladesh",0,1,1,1989,53.78,"90s",18,0,99.292555240821,63
142,260,224,63.39,4,"caught",1,"Sri Lanka","SR Tendulkar","India",1994,1,"India",1,1,1,1989,53.78,"90s",5,0,99.292555240821,63
78,285,213,36.61,4,"lbw",2,"England","SR Tendulkar","India",1993,1,"India",1,0,1,1989,53.78,"90s",4,0,99.292555240821,63
100,298,211,47.39,5,"not out",3,"Sri Lanka","SR Tendulkar","India",2009,0,"India",1,1,2,1989,53.78,"90s",20,1,99.292555240821,63
73,272,208,35.09,5,"caught",2,"South Africa","SR Tendulkar","India",1993,1,"South Africa",0,0,1,1989,53.78,"90s",4,1,99.292555240821,63
177,298,207,85.5,4,"bowled",1,"Australia","SR Tendulkar","India",1998,1,"India",1,1,1,1989,53.78,"90s",9,1,99.292555240821,63
106,266,206,51.45,4,"caught",2,"South Africa","SR Tendulkar","India",2010,1,"India",1,1,1,1989,53.78,"90s",21,1,99.292555240821,63
153,342,205,74.63,4,"caught",1,"Australia","SR Tendulkar","India",2008,1,"Australia",0,1,1,1989,53.78,"90s",19,1,99.292555240821,63
94,301,202,46.53,4,"caught",2,"Pakistan","SR Tendulkar","India",2005,1,"India",1,1,1,1989,53.78,"90s",16,0,99.292555240821,63
90,263,198,45.45,4,"stumped",2,"England","SR Tendulkar","India",2001,1,"India",1,1,1,1989,53.78,"90s",12,0,99.292555240821,63
103,254,197,52.28,4,"caught",2,"England","SR Tendulkar","India",2001,1,"India",1,1,1,1989,53.78,"90s",12,0,99.292555240821,63
91,259,197,46.19,4,"lbw",2,"England","SR Tendulkar","India",2007,1,"England",0,1,1,1989,53.78,"90s",18,0,99.292555240821,63
109,310,196,55.61,4,"lbw",1,"Sri Lanka","SR Tendulkar","India",2005,1,"India",1,1,1,1989,53.78,"90s",16,1,99.292555240821,63
103,317,196,52.55,4,"not out",4,"England","SR Tendulkar","India",2008,0,"India",1,1,2,1989,53.78,"90s",19,0,99.292555240821,63
82,298,192,42.7,4,"caught",1,"England","SR Tendulkar","India",2007,1,"England",0,0,1,1989,53.78,"90s",18,0,99.292555240821,63
155,286,191,81.15,4,"not out",3,"Australia","SR Tendulkar","India",1998,0,"India",1,1,2,1989,53.78,"90s",9,1,99.292555240821,63
116,283,191,60.73,4,"caught",2,"Australia","SR Tendulkar","India",1999,1,"Australia",0,1,1,1989,53.78,"90s",10,1,99.292555240821,63
98,251,189,51.85,5,"lbw",2,"Australia","SR Tendulkar","India",2010,1,"India",1,1,1,1989,53.78,"90s",21,1,99.292555240821,63
109,274,188,57.97,4,"lbw",1,"Australia","SR Tendulkar","India",2008,1,"India",1,1,1,1989,53.78,"90s",19,1,99.292555240821,63
155,233,184,84.23,4,"caught",1,"South Africa","SR Tendulkar","India",2001,1,"South Africa",0,1,1,1989,53.78,"90s",12,1,99.292555240821,63
