ground,country
Sydney,Australia
Dhaka,Bangladesh
Bengaluru,India
Nottingham,England
Multan,Pakistan
Colombo (SSC),Sri Lanka
Ahmedabad,India
Leeds,England
Nagpur,India
Cape Town,South Africa
Kolkata,India
Chennai,India
Johannesburg,South Africa
Napier,New Zealand
Port of Spain,West Indies
Hamilton,New Zealand
Mohali,India
Colombo (RPS),Sri Lanka
Mumbai,India
Centurion,South Africa
Delhi,India
Georgetown,West Indies
Lucknow,India
Adelaide,Australia
The Oval,England
Melbourne,Australia
Manchester,England
Bloemfontein,South Africa
Birmingham,England
Kanpur,India
Faisalabad,Pakistan
Chittagong,Bangladesh
Perth,Australia
Colombo (PSS),Sri Lanka
Wellington,New Zealand
Bridgetown,West Indies
Galle,Sri Lanka
Kingston,West Indies
Harare,Zimbabwe
Sialkot,Pakistan
Bulawayo,Zimbabwe
Durban,South Africa
Mumbai (BS),India
Lahore,Pakistan
Lord's,England
Hyderabad (Deccan),India
Karachi,Pakistan
Port Elizabeth,South Africa
Christchurch,New Zealand
Brisbane,Australia
Auckland,New Zealand
Cuttack,India
Rawalpindi,Pakistan
St John's,West Indies
Kandy,Sri Lanka
Gros Islet,West Indies
Basseterre,West Indies
Roseau,West Indies
Hyderabad (Sind),Pakistan
Jaipur,India
Indore,India
North Sound,West Indies
Visakhapatnam,India
Rajkot,India
Pallekele,Sri Lanka
Southampton,England
Pune,India
Ranchi,India
Fatullah,Bangladesh
Dharamsala,India
Moratuwa,Sri Lanka
Hobart,Australia
Sharjah,UAE
Cardiff,England
Peshawar,Pakistan
Cairns,Australia
Darwin,Australia
Abu Dhabi,UAE
Chester-le-Street,England
Dubai (DSC),UAE
Kingstown,West Indies
Khulna,Bangladesh
St George's,West Indies
Potchefstroom,South Africa
Dunedin,New Zealand
Bogra,Bangladesh
East London,England
Colombo (CCC),Sri Lanka
Gujranwala,Pakistan
Providence,West Indies
Sheikhupura,Pakistan
